trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.5, 'e': 0.9964883227896721}",25,0,-133.79853855349162,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9964032453776931}",25,0,-129.55583947319013,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9963171515348498}",30,0,-240.05265058216932,"{0: 15, 1: 5, 2: 4, 3: 2, 4: 4}",0
86,False,"{'a': 0.5, 'e': 0.9962300413489666}",20,0,-120.19330318096297,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9961419149089047}",30,6,-127.06741204893115,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.9960527723045617}",25,0,-132.49307566827258,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9959626136268721}",20,0,-52.52320803419954,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.9958714389678066}",20,0,-46.88862284440404,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9957792484203727}",25,0,-204.69940064285296,"{0: 12, 1: 3, 2: 4, 3: 4, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.9956860420786138}",20,0,-96.04229731024873,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9955918200376097}",25,0,-177.32045981240614,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.9954965823934763}",20,0,-65.44698609972534,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9954003292433655}",25,0,-107.96378740156533,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9953030606854653}",25,0,-173.1940554669084,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.995204776818999}",20,0,-119.93768437404727,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.9951054777442263}",30,0,-234.1423239221297,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
99,False,"{'a': 0.5, 'e': 0.9950051635624421}",25,0,-129.24973282266774,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9949038343759766}",20,0,-135.71971914316916,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9948014902881961}",20,0,-86.25132643056739,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9946981314035016}",20,0,-43.871557354083365,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.9945937578273295}",30,0,-189.1558147201248,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
